"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"17-Nov-2023","EQ","892.95","893.30","870.90","905.35","887.00","888.40","883.18","998.30","438.35","55,42,250","4,89,48,20,843.55","1,76,622"
"16-Nov-2023","EQ","920.00","922.85","898.00","919.10","904.00","905.35","909.96","998.30","438.35","27,98,897","2,54,68,91,970.25","73,431"
"15-Nov-2023","EQ","915.00","924.95","903.90","894.65","914.80","919.10","913.82","998.30","438.35","38,02,638","3,47,49,39,055.50","1,06,542"
"13-Nov-2023","EQ","891.00","899.00","891.00","894.80","894.70","894.65","894.88","998.30","438.35","8,60,179","76,97,60,712.75","36,558"
"12-Nov-2023","EQ","902.00","905.00","888.70","894.15","889.80","894.80","896.93","998.30","438.35","3,23,914","29,05,28,326.30","10,408"
"10-Nov-2023","EQ","894.55","898.35","880.20","894.55","896.95","894.15","888.51","998.30","438.35","12,71,320","1,12,95,81,017.75","59,942"
"09-Nov-2023","EQ","900.95","904.45","890.40","896.15","890.55","894.55","897.29","998.30","438.35","9,96,019","89,37,15,481.10","46,268"
"08-Nov-2023","EQ","885.00","906.45","884.60","881.65","897.60","896.15","899.15","998.30","438.35","23,94,902","2,15,33,69,865.65","75,400"
"07-Nov-2023","EQ","885.00","893.95","876.65","880.65","880.80","881.65","884.66","998.30","438.35","25,70,771","2,27,42,58,754.25","78,790"
"06-Nov-2023","EQ","913.85","915.00","876.05","904.05","880.65","880.65","887.78","998.30","438.35","34,95,725","3,10,34,38,121.60","95,365"
"03-Nov-2023","EQ","926.00","928.80","896.65","921.25","906.25","904.05","909.80","998.30","438.35","28,56,328","2,59,86,82,115.35","92,722"
"02-Nov-2023","EQ","925.00","928.85","913.55","913.35","919.80","921.25","921.66","998.30","438.35","14,94,872","1,37,77,58,326.20","55,147"
"01-Nov-2023","EQ","920.00","927.95","908.00","920.75","913.50","913.35","918.57","998.30","438.35","16,18,045","1,48,62,82,557.40","67,268"
"31-Oct-2023","EQ","942.00","952.65","912.25","922.60","916.55","920.75","938.52","998.30","438.35","29,13,980","2,73,48,32,738.10","1,12,001"
"30-Oct-2023","EQ","904.90","939.05","896.00","896.35","934.20","922.60","911.09","998.30","438.35","25,95,660","2,36,48,89,214.55","83,172"
"27-Oct-2023","EQ","885.85","916.70","883.10","875.95","901.00","896.35","898.98","998.30","438.35","27,16,127","2,44,17,35,457.10","88,653"
"26-Oct-2023","EQ","911.20","911.40","870.00","916.50","875.40","875.95","884.66","998.30","438.35","32,76,337","2,89,84,31,556.20","1,35,494"
"25-Oct-2023","EQ","927.05","937.40","885.20","923.70","911.45","916.50","912.51","998.30","438.35","47,87,552","4,36,86,80,373.40","1,43,863"
"23-Oct-2023","EQ","987.00","992.00","881.20","987.65","920.00","923.70","937.55","998.30","438.35","74,06,062","6,94,35,69,648.00","2,10,824"
"20-Oct-2023","EQ","969.75","998.30","961.90","968.45","980.05","987.65","983.39","998.30","438.35","57,99,353","5,70,29,99,858.75","1,73,766"
"19-Oct-2023","EQ","952.00","976.75","935.70","947.95","967.00","968.45","966.33","983.55","438.35","37,35,586","3,60,97,90,906.25","1,12,756"
"18-Oct-2023","EQ","943.00","951.80","935.15","941.55","947.00","947.95","943.21","983.55","438.35","18,24,228","1,72,06,32,121.00","50,913"
"17-Oct-2023","EQ","941.00","946.30","928.00","937.85","940.70","941.55","938.75","983.55","438.35","20,07,371","1,88,44,24,565.60","61,765"
"16-Oct-2023","EQ","939.30","944.00","925.00","933.10","930.00","937.85","937.78","983.55","438.35","17,22,235","1,61,50,86,123.30","56,583"
"13-Oct-2023","EQ","949.95","967.95","929.00","957.55","932.50","933.10","946.62","983.55","438.35","24,83,633","2,35,10,59,654.10","74,379"
"12-Oct-2023","EQ","981.00","983.55","951.55","971.75","954.15","957.55","963.53","983.55","438.35","23,05,028","2,22,09,57,988.15","65,638"
"11-Oct-2023","EQ","950.00","978.00","946.00","949.70","972.50","971.75","963.76","978.00","438.35","45,18,522","4,35,47,79,177.20","1,24,390"
